Epoch,Loss,Micro_f1,Macro_f1,NMI,ARI,Purity,Silhouette
0,13.038950363794962,0.4821318545902649,0.4737122577142977,0.2150,0.2196,0.5933,0.0034
1,4.769361702601115,0.5101663585951941,0.5018477629166544,0.2428,0.2498,0.6157,0.0014
2,3.7759482701619467,0.5224892174984597,0.5147269584975818,0.2477,0.2593,0.6262,-0.0008
3,3.4773322979609174,0.5295748613678374,0.5217963763692296,0.2485,0.2513,0.6185,-0.0027
4,3.26185028553009,0.5295748613678374,0.5222317040883165,0.2499,0.2456,0.6161,-0.0045
5,3.121250947316488,0.5311152187307455,0.5232408347241071,0.2466,0.2453,0.6079,-0.0047
6,3.044998534520467,0.5378927911275416,0.5303186259710374,0.2488,0.2434,0.6087,-0.0058
7,2.993250759442647,0.544362292051756,0.5376463828961244,0.2412,0.2418,0.5893,-0.0063
8,2.9355828444163006,0.5536044362292052,0.5471907627565331,0.2309,0.2120,0.5822,-0.0040
9,2.928560177485148,0.5560690080098583,0.5490653367984046,0.2474,0.2260,0.5815,0.0017
10,2.898702891667684,0.5573012939001848,0.5502664272825413,0.2436,0.2264,0.5781,-0.0049
11,2.930619994799296,0.5677757239679606,0.5593489759009369,0.2376,0.2100,0.5551,0.0141
12,2.8244182109832763,0.5831792975970426,0.5741111689503072,0.2345,0.2057,0.5478,0.0089
13,2.7582165320714314,0.5782501540357363,0.5679428171326911,0.2449,0.2087,0.5651,0.0062
14,2.7073397397994996,0.5745532963647566,0.5655360644412688,0.2574,0.2366,0.5754,0.0091
15,2.656424125035604,0.5767097966728281,0.5669855605602265,0.2073,0.1606,0.5000,0.0242
16,2.612200220425924,0.5871842267406038,0.577871822014026,0.1823,0.1315,0.4501,0.0601
17,2.562862491607666,0.5859519408502772,0.5761885898096197,0.2371,0.1780,0.5308,0.0350
18,2.5078564087549844,0.5933456561922366,0.5843455747505324,0.2296,0.1851,0.5215,0.0470
19,2.462255295117696,0.5914972273567468,0.5815736098646154,0.1873,0.1319,0.4639,0.0613
20,2.41412836710612,0.5905730129390019,0.5811356998624497,0.2039,0.1542,0.4941,0.0451
21,2.37236758073171,0.5973505853357979,0.5847535186084691,0.1915,0.1336,0.4648,0.0480
22,2.3267352263132732,0.6019716574245225,0.589150063461751,0.1563,0.1107,0.4256,0.0691
23,2.277711804707845,0.5979667282809612,0.5864677718519353,0.1779,0.1213,0.4398,0.1040
24,2.235584382216136,0.6013555144793592,0.5904010633766151,0.1980,0.1369,0.4646,0.0967
25,2.195096186796824,0.5893407270486752,0.5798376302000967,0.2003,0.1378,0.4671,0.0837
26,2.1583951155344647,0.5865680837954406,0.5757509329261965,0.1745,0.1186,0.4480,0.1130
27,2.120629100004832,0.5850277264325323,0.5760398861969849,0.2079,0.1382,0.4697,0.1057
28,2.0767629941304526,0.5970425138632163,0.586998631049702,0.1754,0.1151,0.4298,0.1271
29,2.049804751078288,0.5942698706099815,0.582116930121649,0.2080,0.1394,0.4719,0.1187
30,2.0456948002179463,0.5841035120147874,0.574326193918747,0.1556,0.1033,0.4214,0.1141
31,2.001462924480438,0.5779420825631546,0.5663341335001808,0.1610,0.1072,0.4344,0.1364
32,1.9712605675061543,0.5609981515711645,0.5494887501065084,0.1514,0.1036,0.4309,0.1131
33,1.9414616465568542,0.5616142945163278,0.550406090088355,0.1434,0.0952,0.4186,0.1440
